No,ID,CG,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
1603,25,5,11.1,22.94,213.64,416.25,0,23.94,1.03,6,1.65,19,210.9,66.71,349.54,144.19,164.55,1.04,0.02,6,0.57,0.81,1.71,192.27,2.61,75.13,0,417.7930104,1
1604,25,5,11.4,8.81,213.07,135.56,0,11.71,3.24,5,2.23,19,216.6,69.65,65.91,146.95,78.19,3.3,0.01,5,0.81,0.73,2.33,84.13,0.67,27.09,0,492.8794282,1
1605,25,5,11.8,35.75,639.39,217.19,0,31.73,1.55,6,1.71,19,224.2,73.57,143.62,150.62,209.19,1.56,0,6,0.6,0.78,1.78,246.14,0.84,56.36,0,549.4322815,1
1606,25,5,11.95,46.18,492.4,451.78,0,38.39,1.2,6,1.57,19,227.05,75.05,376.73,152,251.06,1.2,0.01,6,0.55,0.79,1.63,303.35,3.17,72.08,0,531.4782847,1
1607,25,5,12.4,12.52,391.76,154.46,0,9.69,3.78,5,2.33,19,235.6,79.46,75,156.14,60.53,3.87,0.01,5,0.86,0.68,2.46,64.31,0.39,23.3,0,475.0468115,1
1608,25,5,12.7,44.13,405.26,216.44,0,41.32,1.22,6,1.56,19,241.3,82.4,134.04,158.9,258.52,1.22,0,6,0.55,0.78,1.63,318.52,0.86,71.39,0,551.2899248,1
1609,25,5,13.1,57.84,208.18,412.98,0,57.22,0.95,6,1.4,19,248.9,86.33,326.65,162.57,350.42,0.95,0.01,6,0.48,0.79,1.45,450.28,2.22,92.25,0,569.0357058,1
1610,25,5,13.3,38.93,266.21,250.71,0,37.97,1.06,6,1.53,19,252.7,88.29,162.42,164.41,229.43,1.06,0,6,0.54,0.76,1.6,287.86,0.81,79.26,0,491.9415623,1
1611,25,5,13.7,2.82,128.22,181.67,0,3.82,3.58,4,2.6,19,260.3,92.21,89.46,168.09,21.16,3.84,0.04,4,1,0.59,2.8,21.16,0.76,20.59,0,317.4419167,0
1612,25,5,14.15,6.11,259.32,679.81,0,12.22,2.51,5,2.13,19,268.85,96.63,583.18,172.22,69.41,2.57,0.06,5,0.8,0.65,2.27,77.32,4.35,32.5,0,428.7917385,1
1613,25,5,14.25,26.32,535.01,1135.11,0,22.3,2.58,5,1.98,19,270.75,97.61,1037.5,173.14,127.23,2.62,0.04,5,0.73,0.67,2.09,147.26,4.6,34.54,0,553.4662237,1
1614,25,5,14.45,14.91,380.36,255.49,0,20.63,2.34,6,1.97,19,274.55,99.57,155.92,174.98,116.34,2.37,0.01,5,0.73,0.66,2.08,135.24,1.22,37.19,0,512.69183,1
1615,25,5,14.85,17.93,671.86,195.53,0,16.23,3.96,8,2.21,19,282.15,103.5,92.03,178.65,89.24,4.03,0.01,5,0.83,0.62,2.35,98.22,0.64,23.22,0,567.7765775,1
1616,25,5,15.35,4.07,105.91,150.42,0,3.96,2.96,4,2.53,19,291.65,108.4,42.02,183.25,20.04,3.19,0.01,4,1,0.55,2.77,20.08,0.21,22.42,0,293.8328223,0
1617,25,5,15.65,3.39,225.9,408.94,0,3.55,7.11,3,2.83,19,297.35,111.34,297.6,186.01,17.46,7.76,0.09,3,1,0.54,3.07,17.46,1.53,13.37,0,386.8661262,1
1618,26,5,0.75,1.37,73.83,16.11,0,1.54,5.03,3,2.99,19,14.25,0,16.11,14.25,106.93,5.07,0.01,5,0.81,4.84,2.5,73.77,1.48,18.85,0,553.9076495,1
1619,26,5,1,2.34,78.43,73.12,0,2.19,3.38,4,2.76,19,19,0,73.12,19,114.44,3.41,0.03,5,0.76,3.52,2.36,76.62,3.64,26.13,0,477.291979,1
1620,26,5,1.05,2.11,75.56,66.47,0,3.34,3.32,4,2.62,19,19.95,0,66.47,19.95,166.21,3.34,0.02,5,0.72,3.2,2.26,106.02,2.75,27.37,0,536.4983309,1
1621,26,5,2.1,1.1,31.79,47.55,0,1.12,2.91,3,2.95,19,39.9,0,47.55,39.9,27.18,3.02,0.04,4,0.89,2.27,2.68,24.63,1.11,24,0,305.5806386,0
1622,26,5,2.5,0.52,7.47,100.22,0,0.54,3.13,3,3.24,19,47.5,0,100.22,47.5,10.37,3.43,0.2,3,1,2.11,3.02,10.37,2.07,19.3,0,245.6753552,0
1623,26,5,2.6,2.58,41.18,175.38,0,2.49,1.88,4,2.56,19,49.4,0.98,174.4,48.42,50.35,1.92,0.1,5,0.78,1.76,2.37,42.88,5.01,34.73,0,312.7653316,0
1624,26,5,3.2,5.81,100.07,1387.67,0,6.07,1.65,5,2.22,19,60.8,6.87,1380.8,53.93,111.47,1.66,0.23,5,0.67,1.51,2.09,91.05,25.91,45.61,0,385.9112932,1
1625,26,5,3.25,5.7,100.64,1497.85,0,6.08,1.63,5,2.22,19,61.75,7.36,1490.49,54.39,110.71,1.65,0.25,5,0.67,1.51,2.09,90.66,27.29,45.91,0,384.6708803,1
1626,26,5,3.35,5.76,93.75,1707.23,0,6.13,1.54,5,2.2,19,63.65,8.34,1698.89,55.31,109.6,1.56,0.28,5,0.67,1.48,2.07,89.99,30.78,47.52,0,372.9694105,1
1627,26,5,4.8,7.11,130.33,1812.05,0,7.74,1.62,5,2.14,19,91.2,22.56,1789.49,68.64,111.38,1.64,0.22,5,0.67,1.29,2.06,98.33,24.82,46.82,0,393.5881865,1
1628,26,5,4.85,8.67,134.64,1604.2,0,8.27,1.75,5,2.14,19,92.15,23.05,1581.15,69.1,118.31,1.77,0.19,5,0.67,1.28,2.06,104.76,22.13,44.89,0,412.7377027,1
1629,26,5,5,6.23,119.99,1479.7,0,6.83,1.78,5,2.2,19,95,24.52,1455.18,70.47,95.58,1.81,0.2,5,0.7,1.28,2.13,85.97,19.11,42.59,0,388.8550293,1
1630,26,5,5.45,6.31,97.68,2283.47,0,6.82,1.43,5,2.14,19,103.55,28.94,2254.53,74.61,90.05,1.45,0.33,5,0.68,1.22,2.08,82,30.07,48.67,0,352.2799407,1
1631,26,5,6.45,6.55,84.75,2942.79,0,7.15,1.19,5,2.08,19,122.55,38.75,2904.04,83.8,83.91,1.21,0.41,6,0.67,1.13,2.04,79.16,34.63,53.66,0,326.1421009,0
1632,26,5,7.7,6.62,97.68,3447.69,0,7.32,1.33,5,2.1,19,146.3,51.01,3396.68,95.29,75.33,1.36,0.47,5,0.7,1.03,2.09,74.24,35.68,49.34,0,331.1356945,1
1633,26,5,8.15,6.67,96.14,3494.73,0,7.41,1.29,5,2.08,19,154.85,55.43,3439.3,99.42,72.95,1.31,0.48,5,0.7,1,2.09,72.82,34.69,49.99,0,326.3739827,0
1634,26,5,8.6,6.54,96.91,3477.86,0,7.2,1.34,5,2.11,19,163.4,59.84,3418.02,103.56,67.94,1.38,0.48,5,0.71,0.98,2.12,68.63,32.94,47.82,0,324.2746688,0
1635,26,5,8.65,6.57,98.54,3463.28,0,7.28,1.35,5,2.1,19,164.35,60.33,3402.95,104.02,68.45,1.38,0.48,5,0.71,0.97,2.12,69.23,32.73,47.83,0,326.39859,0
1636,26,5,8.8,6.6,102.75,3442.32,0,7.31,1.4,5,2.11,19,167.2,61.8,3380.52,105.4,67.74,1.43,0.47,5,0.72,0.96,2.13,68.75,32.1,46.77,0,328.8380409,0
1637,27,5,1.55,0.37,13.31,6.72,0,0.22,3.5,3,3.59,21,32.55,0,6.72,32.55,5.87,4.09,0.02,3,1,3.07,3.26,5.87,0.14,16.88,0,240.1440303,0
1638,27,5,2.7,17.03,95.66,60.48,0,16.7,0.6,6,1.6,21,56.7,6.87,53.61,49.83,333.95,0.6,0,6,0.44,1.36,1.5,226.76,1.08,115.15,0,400.5604398,1
1639,27,5,2.95,11.47,334.3,52.22,0,11.79,2.88,5,2.19,21,61.95,9.32,42.9,52.63,222.82,2.9,0,5,0.67,1.53,2.08,179.92,0.88,32.1,0,701.944541,1
1640,27,5,3.85,28.04,459.27,124.22,0,28.64,1.54,6,1.74,21,80.85,18.15,106.07,62.7,455.51,1.54,0,6,0.52,1.27,1.68,364.06,1.73,59.22,0,717.5843238,1
1641,27,5,4.25,9.21,402.58,1089.6,0,9.52,4.21,9,2.38,21,89.25,22.07,1067.53,67.18,140.45,4.25,0.11,5,0.76,1.35,2.3,127.62,14.85,22.45,0,716.8565772,1
1642,27,5,4.75,8.28,356.9,1916.55,0,9,4.03,4,2.38,21,99.75,26.98,1889.57,72.77,122.24,4.08,0.2,5,0.77,1.28,2.31,113.55,24.4,23.19,0,665.0948316,1
1643,27,5,4.8,8.19,385.82,1526.6,0,8.67,4.18,4,2.4,21,100.8,27.47,1499.13,73.33,116.83,4.23,0.19,5,0.78,1.27,2.34,109.03,22.34,22.4,0,670.1202288,1
