No,ID,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
2813,31,27.94,3.36,59.76,6.12,-68.57,3.34,1.8,5,2.45,18.16,513.25,229.95,-223.83,283.31,9.99,2.13,-0.08,4,1,0.35,2.92,9.99,-0.8,21.91,2,201.1703098,0
2814,31,28.28,2.99,67.2,18.61,-65.26,2.99,2.21,4,2.54,18.23,519.48,233.28,-214.67,286.2,8.65,2.67,-0.09,3,1,0.35,3.02,8.65,-0.74,20.02,2,205.7418656,0
2815,31,28.38,2.93,56.03,28.04,-59.14,2.94,1.91,4,2.51,18.03,521.3,234.26,-206.22,287.04,8.41,2.32,-0.09,3,1,0.35,3,8.41,-0.71,20.57,2,194.2525139,0
2816,31,28.56,2.74,57.26,9.43,-65.26,2.73,2.08,4,2.55,18.02,524.51,236.03,-226.6,288.49,7.63,2.57,-0.09,3,1,0.35,3.06,7.63,-0.72,19.67,2,194.7251802,0
2817,31,28.82,2.68,48.54,77.75,-59.14,2.7,1.87,4,2.53,17.88,529.18,238.58,-160.83,290.6,7.47,2.32,-0.07,3,1,0.34,3.04,7.47,-0.55,20,2,185.4094605,0
2818,31,29.02,2.62,50.43,96.36,-53.02,2.71,1.85,4,2.53,17.87,532.73,240.54,-144.18,292.19,7.44,2.3,-0.07,3,1,0.34,3.04,7.44,-0.5,20.01,2,184.7473333,0
2819,31,29.42,2.99,65.98,143.26,-53.02,3.01,2.15,4,2.53,18.21,539.95,244.47,-101.21,295.48,8.36,2.62,-0.04,3,1,0.34,3.03,8.36,-0.33,19.98,2,202.8796926,0
2820,31,29.44,2.99,64.09,152.44,-56.08,3.03,2.12,4,2.52,18.2,540.31,244.66,-92.22,295.65,8.43,2.58,-0.04,3,1,0.34,3.02,8.43,-0.32,20.09,2,201.472601,0
2821,31,29.46,2.99,62.87,155.5,-53.02,3.01,2.11,4,2.52,18.19,540.68,244.86,-89.36,295.82,8.36,2.57,-0.04,3,1,0.34,3.02,8.36,-0.3,20.08,2,200.1065624,0
2822,31,29.66,3.36,65.98,376.5,-24.98,3.47,1.86,5,2.44,18.26,544.31,246.82,129.68,297.49,9.84,2.2,0.04,4,1,0.34,2.93,9.84,0.43,21.64,2,202.5447643,0
2823,31,29.82,3.36,68.47,448.13,-6.12,3.45,1.96,5,2.46,18.31,547.23,248.39,199.74,298.84,9.73,2.33,0.07,4,1,0.33,2.95,9.73,0.67,21.3,2,206.5603205,0
2824,31,30.58,1.8,19.27,768.55,177.42,1.88,0.84,5,2.48,16.4,560.8,255.84,512.71,304.96,4.31,1.2,0.41,3,1,0.33,3.12,4.31,1.75,19.04,1,124.5878597,0
2825,31,30.9,2.74,31.1,1151.43,1366.06,3.11,0.99,5,2.33,17.37,566.24,258.98,892.45,307.25,8.27,1.22,0.35,4,1,0.33,2.87,8.27,2.93,22.82,1,156.7483128,0
2826,31,31.18,2.3,34.21,1397.16,1673.99,2.75,1.22,5,2.42,17.42,571.12,261.73,1135.43,309.39,7.03,1.54,0.52,3,1,0.32,2.98,7.03,3.69,21.06,1,159.9700088,0
2827,31,31.74,2.8,82.8,1294.43,1720.64,3.19,2.62,4,2.56,18.52,581.15,267.22,1027.21,313.93,8.31,3.2,0.39,3,1,0.32,3.08,8.31,3.27,18.96,2,218.8344413,0
2828,31,32.1,2.55,88.36,1092.29,1428.26,2.84,3.09,4,2.65,18.54,587.83,270.76,821.53,317.07,7.1,3.9,0.37,3,1,0.32,3.18,7.1,2.61,17.5,2,220.9669981,0
2829,31,32.24,2.37,55.37,1229.18,1559.03,2.76,2.02,4,2.54,18,590.39,272.13,957.05,318.26,6.81,2.58,0.44,3,1,0.31,3.1,6.81,3.02,19.2,2,187.8913398,0
2830,31,32.76,3.11,89.63,1636.78,2296.48,3.6,2.46,4,2.51,18.64,599.83,277.23,1359.55,322.6,9.31,2.96,0.45,3,1,0.31,3.02,9.31,4.23,19.8,2,222.2962278,0
2831,31,32.82,2.93,72.2,1462.42,1997.73,3.38,2.15,5,2.49,18.39,600.94,277.82,1184.6,323.12,8.6,2.62,0.42,3,1,0.31,3.02,8.6,3.62,20.1,2,206.6471842,0
2832,31,33.06,3.36,90.25,1057.88,2570.26,3.74,2.39,4,2.49,18.66,605.39,280.17,777.71,325.21,9.63,2.85,0.25,3,1,0.31,3,9.63,2.36,20.15,2,222.5385629,0
2833,31,33.18,3.3,91.47,1247.78,2511.12,3.65,2.51,4,2.51,18.68,607.63,281.35,966.43,326.28,9.33,3.01,0.32,3,1,0.31,3.02,9.33,2.95,19.7,2,223.1320878,0
2834,31,33.32,2.55,79.69,1182.53,1941.65,2.93,2.8,4,2.61,18.47,610.23,282.72,899.81,327.5,7.08,3.53,0.39,3,1,0.31,3.16,7.08,2.79,17.98,2,214.1735143,0
2835,31,33.64,2.62,57.87,1387.73,2081.85,2.82,1.4,5,2.44,17.61,615.99,285.86,1101.87,330.12,6.69,1.79,0.5,3,1,0.3,3.03,6.69,3.34,20.37,1,165.998005,0
2836,31,33.88,5.85,63.48,799.65,2414.76,5.65,1.21,5,2.16,18.51,620.37,288.22,511.43,332.15,15.14,1.36,0.1,4,1,0.3,2.66,15.14,1.49,27.74,4,201.4998603,0
2837,31,34.08,3.92,87.75,1185.59,3351.3,4.34,2.18,5,2.41,18.78,624.13,290.18,895.41,333.95,11.14,2.54,0.24,4,1,0.3,2.92,11.14,2.73,21.5,2,225.7529351,0
2838,31,34.32,3.73,128.84,1496.83,3223.59,4.16,3.14,4,2.53,19.14,628.67,292.53,1204.3,336.13,10.52,3.7,0.34,3,1,0.3,3.03,10.52,3.6,18.85,2,253.35394,0
2839,31,34.44,5.1,74.08,1910.55,3986.03,5.89,1.24,5,2.15,18.6,630.92,293.71,1616.84,337.21,15.6,1.38,0.3,4,1,0.3,2.65,15.6,4.65,27.94,4,204.4703391,0
2840,31,34.7,8.34,113.29,339.29,871.28,8.51,1.38,5,2.06,19.29,635.92,296.26,43.03,339.65,23.17,1.49,0.01,5,0.98,0.3,2.52,23.78,0.14,32.01,0,246.7544762,0
2841,31,34.76,4.85,164.94,351.52,516.45,4.99,3.3,4,2.49,19.48,637.08,296.85,54.67,340.23,12.78,3.79,0.02,3,1,0.29,2.97,12.78,0.2,19.24,2,276.5419477,0
2842,31,34.78,4.11,192.32,445.07,905.44,4.39,4.37,4,2.61,19.6,637.47,297.05,148.02,340.42,11.03,5.12,0.04,3,1,0.29,3.1,11.03,0.49,16.63,2,293.7390121,0
2843,31,34.88,3.73,140.06,1129.51,2162.66,4.03,3.59,4,2.58,19.25,639.42,298.03,831.48,341.39,9.93,4.27,0.24,3,1,0.29,3.09,9.93,2.43,17.73,2,263.2792272,0
2844,31,34.9,3.67,130.68,1219.74,2327.58,4.04,3.01,4,2.53,19.05,639.8,298.22,921.52,341.58,9.95,3.58,0.27,3,1,0.29,3.04,9.95,2.72,18.89,2,244.9267472,0
2845,31,35.42,3.55,87.75,2000.79,3046.43,4.15,2.13,5,2.42,18.69,649.42,303.33,1697.46,346.1,10.11,2.52,0.49,3,1,0.29,2.95,10.11,4.9,21.06,2,216.9934338,0
2846,31,35.94,3.42,111.4,1838.92,3329.63,3.95,2.82,4,2.51,18.94,659.22,308.43,1530.49,350.8,9.38,3.39,0.46,3,1,0.29,3.05,9.38,4.34,19.05,2,235.942419,0
2847,31,36.04,3.42,111.4,1876.39,3167.77,4.06,2.72,4,2.5,18.94,661.12,309.41,1566.98,351.71,9.65,3.25,0.47,3,1,0.28,3.03,9.65,4.53,19.39,2,234.9900015,0
2848,31,36.46,3.49,88.36,1670.94,3030.88,4.01,2.19,5,2.44,18.67,669,313.53,1357.41,355.47,9.4,2.63,0.41,3,1,0.28,2.99,9.4,3.82,20.47,2,215.9057121,0
2849,31,36.78,2.87,106.41,1244.73,2451.98,3.25,3.26,4,2.62,18.8,675,316.67,928.06,358.33,7.18,4.12,0.37,3,1,0.28,3.19,7.18,2.69,17.26,2,228.8363999,0
2850,31,36.86,2.93,93.36,1309.98,2442.8,3.32,2.82,4,2.57,18.67,676.49,317.45,992.53,359.04,7.36,3.54,0.37,3,1,0.28,3.15,7.36,2.75,18.07,2,220.077986,0
2851,31,37.18,4.73,83.41,239.62,1739.51,4.85,1.67,5,2.3,18.65,682.43,320.59,-80.97,361.84,11.53,1.94,-0.01,4,1,0.28,2.84,11.53,-0.14,23.31,4,207.8857597,0
2852,32,8.43,3.92,77.65,672.4,0,4.1,1.89,5,2.39,18.53,176.3,43.42,628.98,132.87,29.53,1.97,0.15,5,0.87,0.78,2.5,30.67,4.5,31.18,5,279.6949825,0
2853,32,8.54,3.95,81.27,673.73,0,4.16,1.96,5,2.39,18.6,178.4,44.54,629.19,133.87,29.72,2.05,0.16,5,0.87,0.78,2.5,30.86,4.78,30.67,5,282.0550045,0
2854,32,8.68,3.9,89.06,822.77,0,4.11,2.15,5,2.42,18.68,181.05,45.92,776.85,135.12,29.1,2.25,0.2,5,0.88,0.77,2.54,30.14,5.72,29.15,5,292.7576364,0
2855,32,9.33,3.47,98.18,833.87,0,3.74,2.63,4,2.51,18.77,193.25,52.31,781.56,140.93,25.16,2.77,0.24,4,0.93,0.73,2.65,25.78,5.91,25.31,5,300.7463614,0
2856,32,9.5,3.99,111.31,724.05,0,4.28,2.49,5,2.45,18.92,196.44,53.98,670.07,142.46,28.66,2.61,0.19,5,0.91,0.73,2.58,29.64,5.42,26.88,5,308.0375821,0
2857,32,9.84,4.42,125.31,685.79,0,4.61,2.7,5,2.45,19.13,202.93,57.32,628.47,145.61,30.27,2.83,0.14,5,0.91,0.71,2.59,31.33,4.24,26.06,5,328.820731,0
2858,32,9.87,4.45,126.14,679.95,0,4.66,2.71,5,2.45,19.14,203.47,57.59,622.36,145.87,30.52,2.83,0.14,5,0.91,0.71,2.58,31.6,4.27,26.08,5,326.9498705,0
2859,32,10.32,4.93,120.03,1476.97,0,5.37,2.21,5,2.34,19.13,212.16,62.04,1414.93,150.12,34.38,2.3,0.27,5,0.87,0.7,2.48,36.23,9.43,30.15,5,318.9996047,0
2860,32,10.35,4.97,113.77,1492.25,0,5.4,2.13,5,2.33,19.09,212.7,62.32,1429.93,150.39,34.51,2.22,0.28,5,0.87,0.7,2.47,36.44,9.51,30.78,5,315.6920381,0
2861,32,10.38,4.97,111.72,1507.64,0,5.43,2.05,5,2.32,19.06,213.24,62.59,1445.05,150.65,34.6,2.14,0.28,5,0.86,0.7,2.46,36.62,9.75,31.44,5,312.3816939,0
2862,32,10.47,5.08,101.4,1747.1,0,5.58,1.81,5,2.27,18.96,214.86,63.43,1683.67,151.43,35.45,1.89,0.31,5,0.85,0.7,2.41,37.8,11.11,33.83,7,298.6971695,0
2863,32,10.64,4.99,93.92,1838.79,0,5.51,1.68,5,2.26,18.85,218.07,65.09,1773.7,152.97,34.62,1.75,0.32,5,0.84,0.7,2.4,37.04,11.22,34.9,7,288.7942303,0
2864,32,10.66,5,88.92,1671.29,0,5.53,1.61,5,2.24,18.81,218.6,65.37,1605.92,153.23,34.66,1.67,0.32,5,0.84,0.7,2.39,37.17,10.99,35.68,7,285.3035271,0
2865,32,11.09,5.58,90.91,1784.99,0,6.1,1.51,5,2.19,18.88,226.61,69.54,1715.45,157.07,37.39,1.57,0.29,5,0.82,0.69,2.34,40.56,10.77,37.83,7,286.9785084,0
2866,32,11.32,4.65,106.72,1256.59,0,5.07,2.09,5,2.35,18.97,230.9,71.76,1184.83,159.14,30.39,2.19,0.26,5,0.89,0.66,2.51,32.05,7.99,30.01,5,299.7176237,0
2867,32,11.4,4.3,109.54,1346.58,0,4.76,2.27,5,2.39,18.97,232.51,72.6,1273.98,159.92,28.28,2.39,0.28,5,0.91,0.65,2.56,29.57,7.94,28.14,5,300.5936131,0
2868,32,11.49,4.35,103.79,1207.13,0,4.74,2.18,5,2.38,18.92,234.12,73.43,1133.7,160.69,28.04,2.3,0.26,5,0.9,0.65,2.55,29.36,7.41,28.63,5,294.4503635,0
2869,32,11.77,5.25,110.7,1542.53,0,5.7,1.92,5,2.28,19.06,239.5,76.21,1466.32,163.29,33.45,2,0.27,5,0.86,0.65,2.45,35.74,9.09,32.3,7,302.874515,0
2870,32,12.14,4.45,90.11,1409.63,0,4.88,1.86,5,2.33,18.78,246.46,79.82,1329.81,166.64,27.79,1.96,0.29,5,0.89,0.63,2.51,29.4,8.06,30.87,5,278.1185843,0
2871,32,12.19,4.41,96.31,1515.74,0,4.88,1.95,5,2.34,18.83,247.53,80.37,1435.37,167.15,27.7,2.05,0.31,5,0.9,0.63,2.52,29.23,8.57,30.19,5,281.1873999,0
2872,32,12.82,4.31,93.3,1447.63,0,4.74,1.97,5,2.35,18.8,259.26,86.49,1361.14,172.77,25.93,2.08,0.3,5,0.91,0.61,2.55,27.26,7.79,29.39,5,276.7426926,0
2873,32,12.9,4.33,93.87,1388.76,0,4.74,1.98,5,2.35,18.81,260.85,87.32,1301.44,173.54,25.84,2.09,0.29,5,0.91,0.61,2.55,27.15,7.52,29.29,5,276.0514898,0
2874,32,12.93,4.34,94.01,1369.11,0,4.75,1.98,5,2.35,18.81,261.39,87.6,1281.51,173.79,25.82,2.09,0.29,5,0.91,0.6,2.55,27.13,7.37,29.28,5,275.8989611,0
2875,32,13.52,4.43,95.92,1433.93,0,4.86,1.92,5,2.34,18.81,272.59,93.43,1340.5,179.16,25.62,2.04,0.29,5,0.91,0.59,2.55,26.98,7.52,29.6,5,274.7540981,0
2876,32,13.81,4.54,95.48,1537.65,0,5,1.91,5,2.33,18.85,277.92,96.21,1441.44,181.71,25.98,2.02,0.3,5,0.91,0.58,2.54,27.42,7.89,29.82,5,275.1920394,0
2877,32,14.09,4.81,93.88,1699.11,0,5.3,1.77,5,2.29,18.85,283.26,98.99,1600.12,184.27,27.24,1.87,0.32,5,0.9,0.58,2.5,29.03,8.66,31.4,5,273.0364042,0
2878,32,14.2,4.84,95.2,1749.43,0,5.37,1.77,5,2.28,18.87,285.4,100.1,1649.33,185.3,27.43,1.87,0.32,5,0.9,0.58,2.5,29.26,8.9,31.46,5,274.9486337,0
2879,32,14.29,4.88,94.66,1773.82,0,5.41,1.75,5,2.28,18.87,287,100.93,1672.89,186.07,27.52,1.85,0.33,5,0.89,0.57,2.49,29.4,8.99,31.69,5,272.4622397,0
2880,32,14.43,5,97.13,1757.83,0,5.53,1.76,5,2.27,18.91,289.68,102.32,1655.51,187.35,27.97,1.85,0.32,5,0.89,0.57,2.49,29.92,8.84,31.82,5,276.6538033,0
2881,32,15.19,5.06,104.61,1722.83,0,5.57,1.88,5,2.29,19,304.18,109.82,1613.01,194.35,27.12,1.99,0.31,5,0.91,0.55,2.52,28.84,8.3,30.51,5,280.8820378,0
2882,32,15.28,5.12,106.29,1741.52,0,5.64,1.89,5,2.28,19.02,305.79,110.66,1630.86,195.13,27.35,2,0.31,5,0.91,0.55,2.52,29.09,8.36,30.49,5,283.0037745,0
2883,32,15.39,5.33,111.11,1712.21,0,5.85,1.89,5,2.27,19.08,307.95,111.77,1600.44,196.18,28.24,2,0.29,5,0.9,0.54,2.5,30.15,8.17,30.85,5,284.32679,0
2884,32,15.45,5.38,105.97,1707.96,0,5.88,1.81,5,2.26,19.03,309.03,112.32,1595.64,196.71,28.32,1.91,0.29,5,0.9,0.54,2.49,30.34,8.16,31.54,5,281.3354082,0
2885,32,15.51,5.35,102.66,1909.64,0,5.9,1.78,5,2.25,19.02,310.11,112.88,1796.76,197.23,28.33,1.88,0.31,5,0.9,0.54,2.49,30.4,8.87,31.8,5,281.6045221,0
2886,32,17.15,5.47,102.11,1996.96,0,6.09,1.68,5,2.22,19,341.38,128.99,1867.97,212.39,27.05,1.78,0.33,5,0.9,0.51,2.49,29.06,8.79,32.11,7,271.9563681,0
2887,32,17.18,5.47,102.69,1999.96,0,6.06,1.69,5,2.23,19.01,341.92,129.27,1870.69,212.65,26.91,1.79,0.33,5,0.91,0.5,2.49,28.88,8.76,31.93,5,270.834467,0
2888,32,17.26,5.39,103.24,1940.17,0,5.99,1.72,5,2.24,19.01,343.53,130.1,1810.07,213.43,26.45,1.83,0.32,5,0.91,0.5,2.5,28.28,8.47,31.46,5,270.0011382,0
2889,32,17.32,5.43,103.16,1940.17,0,6.01,1.71,5,2.23,19.01,344.61,130.66,1809.51,213.95,26.49,1.82,0.32,5,0.91,0.5,2.5,28.35,8.47,31.55,5,270.5022231,0
2890,32,17.38,5.48,102.51,2010.99,0,6.09,1.68,5,2.23,19.01,345.69,131.21,1879.78,214.47,26.77,1.79,0.33,5,0.91,0.5,2.49,28.72,8.77,31.92,5,269.7083349,0
2891,32,17.49,5.66,103.22,2143.04,0,6.33,1.63,5,2.2,19.03,347.84,132.33,2010.71,215.51,27.74,1.73,0.34,5,0.9,0.5,2.47,29.96,9.31,32.83,7,271.718413,0
2892,32,17.8,6.24,95.21,2375.66,0,6.95,1.37,5,2.12,18.97,353.77,135.38,2240.28,218.38,30.2,1.44,0.34,5,0.87,0.51,2.38,33.48,10.18,36.74,7,262.6820169,0
2893,32,18.03,6.18,90.77,2445.33,0,6.91,1.31,5,2.11,18.92,358.06,137.6,2307.73,220.45,29.73,1.39,0.35,5,0.87,0.5,2.38,33.03,10.48,37.17,7,259.3441682,0
2894,32,18.28,5.99,94.38,2384.09,0,6.71,1.4,5,2.14,18.94,362.88,140.1,2243.99,222.77,28.5,1.48,0.35,5,0.88,0.49,2.41,31.33,10.07,35.51,7,259.1935531,0
2895,32,18.4,6.04,89.25,2335.81,0,6.7,1.36,5,2.13,18.91,365.02,141.22,2194.59,223.81,28.32,1.43,0.35,5,0.88,0.49,2.41,31.2,9.79,35.9,7,257.9772439,0
2896,32,18.62,6.09,92.19,2470.9,0,6.83,1.36,5,2.13,18.94,369.32,143.44,2327.46,225.88,28.58,1.44,0.36,5,0.88,0.49,2.4,31.54,10.26,36.01,7,257.2172944,0
2897,33,0.52,1.3,108.5,18.1,0.85,1.31,8.2,3,3.18,18.48,8.97,0,18.1,8.97,145.51,8.25,0.01,9,0.84,7.6,2.6,99.22,1.13,12.29,3,763.7044272,1
2898,33,1.03,1.3,92.8,1.6,0.73,1.3,7.14,3,3.14,18.3,18.45,0,1.6,18.45,69.33,7.25,0,3,0.89,4.47,2.69,57.1,0.09,13.87,3,560.0181405,1
2899,33,1.11,1.32,85.7,2.6,0.75,1.34,6.21,3,3.09,18.19,19.87,0,2.6,19.87,66.54,6.3,0,3,0.87,4.1,2.66,54.25,0.16,15.6,3,515.711042,1
2900,33,1.22,1.37,77.5,4.5,0.78,1.34,5.96,3,3.08,18.14,21.81,0,4.5,21.81,60.54,6.06,0,3,0.88,3.81,2.67,50.28,0.18,16.09,3,491.991567,1
2901,33,1.38,1.27,59.2,8.7,0.78,1.27,4.72,3,3.04,17.78,24.62,0,8.7,24.62,50.43,4.82,0.01,4,0.87,3.39,2.65,42.12,0.34,19.1,3,411.6915497,1
2902,33,1.65,1.37,55.4,21.9,0.81,1.39,3.94,3,2.96,17.72,29.45,1.43,20.47,28.02,48.44,4.03,0.01,4,0.86,2.98,2.61,40.39,0.72,21.65,3,377.9575557,1
2903,33,1.73,1.39,49.6,21.4,0.85,1.38,3.64,3,2.94,17.62,30.84,2.21,19.19,28.64,47.21,3.72,0.01,4,0.85,2.9,2.59,39.23,0.68,22.79,5,358.5036317,1
2904,33,1.88,1.45,47.6,22.8,0.89,1.44,3.38,3,2.9,17.6,33.6,3.75,19.05,29.85,47.15,3.46,0.01,4,0.84,2.78,2.57,39.08,0.64,23.93,5,348.1388644,1
2905,33,1.96,1.36,53.1,23.3,0.78,1.38,3.8,3,2.95,17.67,34.99,4.52,18.78,30.47,44.12,3.9,0.01,4,0.86,2.79,2.62,37.53,0.63,21.97,3,361.2388052,1
2906,33,2.64,1.03,50,23.8,0.59,1.04,4.77,3,3.11,17.49,46.92,11.18,12.62,35.74,27.79,4.99,0.01,3,0.94,2.63,2.81,26.11,0.35,18.03,3,346.4725941,1
2907,33,2.68,0.98,49.7,23.3,0.58,1,4.92,3,3.13,17.47,47.6,11.57,11.73,36.04,26.41,5.17,0.01,3,0.95,2.63,2.83,25.06,0.33,17.57,3,344.1934721,1
2908,33,3.03,1.16,41.1,22.8,0.69,1.16,3.53,3,2.99,17.32,53.73,15.05,7.75,38.68,28.69,3.7,0.01,4,0.91,2.36,2.72,26.24,0.21,21.7,3,307.287352,0
2909,33,3.11,1.1,43.6,23.3,0.64,1.12,3.88,3,3.03,17.37,55.1,15.82,7.48,39.27,27.07,4.08,0.01,4,0.92,2.37,2.76,25.17,0.19,20.37,3,314.2216859,0
2910,33,3.17,1.16,43.9,23.8,0.66,1.15,3.87,3,3.02,17.4,56.12,16.4,7.4,39.72,27.5,4.06,0.01,4,0.92,2.34,2.76,25.55,0.19,20.45,3,318.3217773,0
2911,33,3.21,1.12,45.4,23.3,0.63,1.12,4.06,3,3.04,17.42,56.8,16.78,6.52,40.02,26.55,4.27,0.01,3,0.93,2.34,2.78,24.9,0.17,19.79,3,320.6059554,0
2912,33,3.29,1.11,48.2,24.2,0.61,1.11,4.36,3,3.06,17.49,58.14,17.54,6.66,40.6,25.96,4.6,0.01,3,0.94,2.33,2.8,24.59,0.16,18.89,3,327.0639145,0
2913,33,3.43,1.35,48.8,23.8,0.71,1.41,3.84,3,2.94,17.71,60.56,18.89,4.91,41.67,32.32,4.01,0,4,0.9,2.2,2.7,29.64,0.1,20.99,3,335.6611939,1
2914,33,3.53,1.54,63.9,22.3,0.71,1.54,4.14,3,2.93,17.93,62.42,19.91,2.39,42.5,34.75,4.31,0,4,0.9,2.16,2.7,31.93,0.05,20.18,3,359.3382122,1
2915,33,3.75,1.87,61.5,27,0.85,1.89,3.21,4,2.8,17.96,66.37,22.07,4.93,44.3,41.21,3.33,0,4,0.86,2.01,2.58,36.65,0.11,24.29,5,342.874937,1
2916,33,3.88,2.01,68.7,28.5,0.86,2,3.44,4,2.8,18.12,68.75,23.37,5.13,45.39,42.6,3.56,0,4,0.86,1.97,2.59,38.12,0.11,23.38,5,360.8251382,1
2917,33,4.01,1.91,71.7,29.4,0.8,1.93,3.7,3,2.83,18.15,71.15,24.66,4.74,46.48,40.05,3.84,0,4,0.87,1.95,2.63,36.37,0.1,22.12,5,367.0354644,1
2918,33,4.12,1.95,67.4,30.3,0.82,1.97,3.4,4,2.8,18.09,73.14,25.74,4.56,47.4,40.1,3.54,0,4,0.87,1.91,2.6,36.27,0.09,23.34,5,351.4577771,1
2919,33,4.17,1.89,67.3,29.9,0.8,1.9,3.53,3,2.82,18.07,73.94,26.17,3.73,47.76,38.19,3.67,0,4,0.87,1.91,2.63,34.82,0.08,22.65,5,353.6744216,1
2920,33,4.66,2.03,77.8,32.7,0.77,2.04,3.83,3,2.82,18.28,82.81,30.95,1.75,51.86,37.76,3.99,0,4,0.89,1.79,2.65,35.05,0.03,21.45,3,368.7789576,1
2921,33,4.85,2.08,81.4,33.2,0.77,2.08,3.91,3,2.82,18.33,86.43,32.88,0.32,53.54,37.22,4.08,0,4,0.89,1.74,2.66,34.76,0.01,21.15,3,372.1741585,1
2922,33,4.96,2.08,83.9,33.2,0.75,2.08,3.98,3,2.82,18.35,88.42,33.95,-0.75,54.47,36.51,4.16,0,4,0.9,1.72,2.67,34.25,-0.01,20.82,3,373.1688849,1
2923,33,5.03,1.97,82.4,33.6,0.71,1.98,4.21,3,2.85,18.34,89.62,34.59,-0.99,55.03,34.42,4.41,0,4,0.91,1.72,2.7,32.57,-0.02,19.94,3,373.0667765,1
2924,33,5.42,2.07,84.4,35.5,0.73,2.13,4.13,3,2.83,18.43,96.76,38.42,-2.92,58.34,34.86,4.33,0,4,0.91,1.63,2.69,33.13,-0.04,20.22,3,374.9430747,1
2925,33,6.29,2.12,91.3,38.8,0.67,2.12,4.35,3,2.84,18.48,112.75,46.95,-8.15,65.8,30.43,4.59,0,3,0.93,1.48,2.75,29.55,-0.12,19.22,3,372.3008306,1
2926,33,6.33,2.12,90,38.3,0.68,2.15,4.19,3,2.83,18.46,113.54,47.37,-9.07,66.17,30.71,4.42,0,4,0.92,1.46,2.73,29.76,-0.13,19.72,3,364.527516,1
2927,33,6.52,2.28,105.4,39.3,0.67,2.26,4.71,3,2.84,18.67,117.16,49.29,-9.99,67.88,31.52,4.96,0,3,0.93,1.44,2.76,30.73,-0.14,18.3,3,392.2745767,1
2928,33,6.74,2.5,92.2,40.7,0.76,2.52,3.66,4,2.74,18.55,121.13,51.38,-10.68,69.75,34.37,3.84,0,4,0.9,1.38,2.66,33.12,-0.15,21.85,3,363.2332398,1
2929,33,6.84,2.41,94.5,41.2,0.73,2.41,3.93,4,2.77,18.56,123.12,52.43,-11.23,70.68,32.39,4.14,0,4,0.91,1.37,2.7,31.42,-0.16,20.71,3,367.4993131,1
2930,33,7.16,2.42,97.8,43.5,0.7,2.46,3.94,4,2.76,18.59,128.96,55.52,-12.02,73.44,31.73,4.16,-0.01,4,0.92,1.33,2.7,30.92,-0.16,20.61,3,363.6913132,1
2931,33,7.22,2.48,95.8,43.5,0.73,2.46,3.93,4,2.76,18.6,130.15,56.15,-12.65,74,31.54,4.15,-0.01,4,0.92,1.32,2.7,30.76,-0.17,20.61,3,362.4737968,1
2932,33,7.79,2.64,97.6,49.6,0.75,2.65,3.65,4,2.72,18.62,140.7,61.7,-12.1,78.99,31.77,3.86,0,4,0.91,1.24,2.68,31.1,-0.15,21.63,3,356.7170705,1
2933,33,7.81,2.62,93.6,49.6,0.75,2.62,3.62,4,2.72,18.59,141.09,61.91,-12.31,79.18,31.3,3.83,-0.01,4,0.91,1.24,2.68,30.66,-0.16,21.7,3,352.3566132,1
2934,33,7.83,2.55,93.5,49.2,0.73,2.57,3.67,4,2.73,18.58,141.5,62.13,-12.93,79.37,30.54,3.88,-0.01,4,0.92,1.24,2.69,29.95,-0.16,21.44,3,350.4428907,1
2935,33,7.87,2.39,96,49.2,0.67,2.41,3.95,4,2.77,18.57,142.26,62.53,-13.33,79.73,28.49,4.2,-0.01,4,0.93,1.24,2.74,28.06,-0.17,20.26,3,355.3461202,1
2936,33,7.96,2.34,99.8,49.6,0.65,2.35,4.26,3,2.8,18.61,143.82,63.35,-13.75,80.47,27.36,4.54,-0.01,3,0.95,1.23,2.77,27.04,-0.17,19.22,3,359.7703038,1
2937,33,8.08,2.29,92.9,50.1,0.65,2.33,3.96,3,2.78,18.52,146.16,64.59,-14.49,81.57,26.74,4.23,-0.01,4,0.94,1.21,2.76,26.42,-0.17,20.04,3,347.4277603,1
2938,33,8.58,2.77,111.4,56.7,0.7,2.71,4.13,4,2.75,18.8,155.34,69.42,-12.72,85.93,29.73,4.38,0,4,0.93,1.15,2.73,29.44,-0.15,19.82,3,368.2435323,1
2939,33,8.89,2.57,98.6,57.2,0.68,2.58,3.86,4,2.74,18.64,161.15,72.47,-15.27,88.68,27.24,4.11,-0.01,4,0.94,1.12,2.74,27.04,-0.17,20.44,3,346.9164134,1
2940,33,9.01,2.28,101.8,57.2,0.59,2.31,4.4,3,2.82,18.63,163.46,73.68,-16.48,89.78,23.92,4.74,-0.01,3,0.97,1.11,2.82,23.85,-0.18,18.49,3,349.2231833,1
2941,33,9.13,2.63,100.7,57.6,0.68,2.63,3.86,4,2.74,18.68,165.77,74.9,-17.3,90.87,27.17,4.12,-0.01,4,0.94,1.09,2.74,27.01,-0.19,20.43,3,347.3715403,1
