No,ID,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
42,1,23.3,1.01,16.64,752,0,1.2,1.39,4,2.76,18,419.4,213.86,538.14,205.54,3.8,2.13,0.69,3,1,0.49,3.28,3.8,2.62,17.67,2,152.3646179,0
43,1,23.65,0.98,14.47,767.74,0,1.18,1.23,4,2.74,18,425.7,217.29,550.45,208.41,3.6,1.93,0.73,3,1,0.48,3.28,3.6,2.64,17.68,1,146.3097624,0
44,1,23.9,0.99,12.29,753.63,0,1.18,1.04,4,2.7,18,430.2,219.74,533.89,210.46,3.56,1.64,0.71,3,1,0.48,3.25,3.56,2.54,17.88,1,139.679904,0
45,1,24.7,1.01,12.63,747.05,0,1.19,1.06,4,2.7,18,444.6,227.59,519.46,217.01,3.46,1.68,0.69,3,1,0.46,3.27,3.46,2.39,17.75,1,140.2340586,0
46,1,24.75,0.99,12.51,751.11,0,1.17,1.07,4,2.71,18,445.5,228.08,523.03,217.42,3.35,1.72,0.72,3,1,0.46,3.28,3.35,2.41,17.62,1,138.6213215,0
47,1,26.85,1.2,14.55,869,0,1.42,1.03,4,2.63,18,483.3,248.68,620.32,234.62,3.98,1.56,0.66,3,1,0.43,3.2,3.98,2.64,18.34,1,142.5472139,0
48,1,26.95,1.19,14.44,871.74,0,1.41,1.02,4,2.63,18,485.1,249.66,622.08,235.44,3.93,1.56,0.67,3,1,0.42,3.2,3.93,2.64,18.29,1,141.2019981,0
49,1,27.55,1.19,16.04,880.95,0,1.41,1.13,4,2.65,18,495.9,255.55,625.4,240.35,3.82,1.75,0.68,3,1,0.42,3.24,3.82,2.6,18.02,1,145.4098919,0
50,1,29.35,1.22,18.55,897.58,0,1.44,1.29,4,2.67,18,528.3,273.21,624.37,255.09,3.57,2.03,0.68,3,1,0.39,3.29,3.57,2.45,17.57,2,147.2473852,0
51,2,0.14,0.81,6,2,0,1.95,0.6,5,2.4,19,2.66,0,2,2.66,731.7,0.6,0,6,0.5,6.14,1.71,119.43,-0.02,91.28,7,292.3227391,0
52,2,0.18,1.67,14,-1,0,2.53,0.6,5,2.3,19,3.42,0,-1,3.42,739.98,0.6,0,6,0.49,5.2,1.68,131.68,-0.53,95.36,7,302.8080306,0
53,2,0.3,4.63,24,-2,0,4.25,0.63,5,2.11,19,5.7,0,-2,5.7,744.03,0.63,0,6,0.47,3.86,1.62,163.67,-1.59,99.92,7,330.3728403,1
54,2,0.32,5.19,25,-4,0,4.45,0.66,5,2.1,19,6.08,0,-4,6.08,730.91,0.66,0,6,0.47,3.76,1.62,167.08,-1.61,98.19,7,335.5219021,1
55,2,0.48,6.38,47,-26,0,4.51,0.93,5,2.17,19,9.12,0,-26,9.12,493.06,0.93,0,6,0.52,3.46,1.74,155.53,-1.2,77.21,7,370.1588645,1
56,2,0.54,3.83,49,-12,0,4.04,1.07,5,2.25,19,10.26,0.39,-12.39,9.87,408.32,1.08,0,6,0.55,3.54,1.82,142.71,-0.83,68.26,7,384.0328098,1
57,2,0.69,1.68,34,29,0,1.58,2.31,4,2.77,19,13.11,1.86,27.14,11.25,139.59,2.33,0,5,0.71,4.77,2.25,74.83,0.26,34.73,7,407.9287684,1
58,2,0.73,1.31,32,-6,0,1.29,2.61,3,2.88,19,13.87,2.26,-8.26,11.61,109.87,2.64,0,5,0.75,5,2.34,63.84,0.41,30.98,5,405.832837,1
59,2,0.85,1.03,22,12,0,1.02,2.66,3,2.96,19,16.15,3.43,8.57,12.72,79.17,2.7,0.01,5,0.78,4.99,2.42,50.24,0.88,29.28,5,375.2448567,1
60,2,0.87,1.03,21,14,0,0.99,2.66,3,2.98,19,16.53,3.63,10.37,12.9,75.23,2.71,0.01,5,0.78,4.99,2.43,48.38,0.9,29.03,5,369.4255455,1
61,2,1.29,0.26,9,38,0,0.37,3.06,3,3.37,19,24.51,7.75,30.25,16.76,20.79,3.27,0.09,4,0.93,5.24,2.81,18.26,1.9,21.78,3,287.8412985,0
62,2,1.44,0.25,7,60,0,0.36,2.33,3,3.33,19,27.36,9.22,50.78,18.14,18.16,2.52,0.1,4,0.92,4.81,2.79,15.86,1.89,23.51,4,252.4962384,0
63,2,1.55,0.22,7,70,0,0.42,1.8,3,3.21,19,29.45,10.3,59.7,19.15,20.39,1.93,0.07,4,0.89,4.33,2.7,16.92,1.4,26.21,4,236.4981753,0
64,2,1.65,0.52,9,-11,0,0.66,1.13,4,2.95,19,31.35,11.28,-22.28,20.07,31.13,1.18,0.02,5,0.8,3.64,2.48,22.74,0.56,33.78,6,223.4191373,0
65,2,1.71,0.59,8,15,0,0.94,0.81,4,2.75,19,32.49,11.87,3.13,20.62,43.86,0.84,0,5,0.74,3.22,2.31,29.14,0.02,41.42,6,216.9675005,0
66,2,1.87,1.55,6,-3,0,2.24,0.47,5,2.3,19,35.53,13.44,-16.44,22.09,99.59,0.47,-0.01,6,0.6,2.49,1.95,54.82,-0.61,67.58,6,220.918354,0
67,2,1.98,3.84,12,-5,0,3.31,0.41,5,2.13,19,37.62,14.52,-19.52,23.1,141.54,0.41,0,6,0.55,2.25,1.81,73.43,-0.65,83.07,7,230.3735801,0
68,2,2.5,6.36,26,18,0,6.47,0.4,6,1.86,19,47.5,19.62,-1.62,27.88,230.46,0.41,0,6,0.48,1.85,1.62,119.01,-0.04,109.01,7,260.1447805,0
69,2,2.52,6.35,26,18,0,6.56,0.4,6,1.85,19,47.88,19.82,-1.82,28.06,232,0.4,0,6,0.48,1.84,1.62,119.98,-0.03,109.72,7,261.733413,0
70,2,2.65,6.55,24,21,0,6.96,0.4,6,1.83,19,50.35,21.09,-0.09,29.26,236.15,0.4,0,6,0.48,1.8,1.6,124.09,0,111.81,7,261.7159034,0
71,2,2.78,7.08,28,22,0,6.93,0.43,6,1.84,19,52.82,22.37,-0.37,30.45,225.93,0.43,0,6,0.48,1.78,1.62,122.4,0.02,108.02,7,265.6828912,0
72,2,2.94,6.22,32,24,0,6.32,0.53,6,1.92,19,55.86,23.94,0.06,31.92,196.09,0.53,0,6,0.52,1.8,1.71,112.83,-0.01,94.27,7,280.1211924,0
73,2,3.12,4.39,41,26,0,6.14,0.57,6,1.95,19,59.28,25.7,0.3,33.58,181.06,0.57,0,6,0.53,1.78,1.74,108.25,-0.27,89.67,7,282.0645154,0
74,2,3.28,6.53,31,9,0,6.38,0.55,6,1.93,19,62.32,27.27,-18.27,35.05,180.22,0.55,0,6,0.52,1.73,1.72,109.5,-0.31,91.51,7,277.3882845,0
75,2,3.64,7.22,20,29,0,7.18,0.43,6,1.83,19,69.16,30.8,-1.8,38.36,185.47,0.43,0,6,0.5,1.61,1.65,114.66,-0.01,104.19,7,262.7764725,0
76,2,4.22,4.08,25,35,0,4.7,0.5,6,2.03,19,80.18,36.49,-1.49,43.69,105.84,0.51,0,6,0.58,1.61,1.85,74.46,0.02,78.14,7,244.889294,0
77,2,4.36,3.96,19,36,0,4.28,0.51,6,2.07,19,82.84,37.87,-1.87,44.97,93.27,0.52,0,6,0.59,1.61,1.89,67.34,0.01,73.49,7,238.9089168,0
78,2,4.42,3.68,21,38,0,4.12,0.52,5,2.08,19,83.98,38.46,-0.46,45.52,88.59,0.53,0,6,0.6,1.6,1.91,64.65,0.01,71.57,7,237.6588122,0
79,2,4.5,3.75,17,35,0,4.14,0.5,6,2.07,19,85.5,39.24,-4.24,46.26,87.63,0.51,0,6,0.6,1.59,1.9,64.28,-0.06,72.18,7,233.660029,0
80,2,4.56,3.64,18,40,0,4.14,0.51,6,2.08,19,86.64,39.83,0.17,46.81,86.68,0.52,0,6,0.6,1.58,1.91,63.97,-0.07,71.79,7,235.7815337,0
81,2,4.61,3.79,21,40,0,4.14,0.51,5,2.08,19,87.59,40.32,-0.32,47.27,85.68,0.52,0,6,0.6,1.57,1.91,63.57,-0.08,71.29,7,234.6749229,0
82,2,4.82,3.68,21,38,0,3.89,0.6,5,2.13,19,91.58,42.38,-4.38,49.2,77.23,0.61,0,6,0.63,1.56,1.97,59.24,-0.34,65.12,7,240.1534404,0
